date,sep,sep_err,pa,pa_err
1909.5,1.0,0.1,190.0,2.0
1910.3,0.8,0.1,180.0,2.0
1912.66,0.65,0.1,187.0,2.0
1926.25,0.41,0.1,192.5,2.0
1930.39,0.37,0.1,194.0,2.0
1936.32,0.23,0.1,204.7,2.0
1937.83,0.24,0.1,204.1,2.0
1937.98,0.18,0.1,206.8,2.0
1960.27,0.2,0.1,0.0,1.0
1963.85,0.26,0.1,358.7,1.0
1964.35,0.3,0.1,1.1,1.0
1967.28,0.32,0.1,1.9,1.0
1976.131,0.52,0.1,2.2,1.0
1979.21,0.59,0.1,1.1,1.0
1989.39,0.73,0.1,3.5,1.0
1991.25,0.775,0.1,2.9,1.0
1991.3893,0.777,0.1,3.2,1.0
1991.67,0.73,0.1,1.8,1.0
1996.1838,0.807,0.1,3.1,1.0
2004.089,0.78,0.1,3.0,1.0
2006.1913,0.745,0.1,3.7,1.0
2009.2654,0.714,0.0005,4.3,0.5
2011.0372,0.6877,0.002405,4.9,0.5
2013.1289,0.6291,0.000901,5.3,0.5
2014.0598,0.6021,0.001,5.0,0.5
2015.1714,0.5707,0.0005,5.7,0.5
