JD,year,x_lo,x_med,x_hi,y_lo,y_med,y_hi
2405158.0,1872.997880439567,-0.14344531886104928,-0.13648412288774636,-0.12902520162016484,-1.281306757793396,-1.256003640997426,-1.2258917287044098
2405432.6240601502,1873.7497761982356,-0.1432614411928876,-0.13644509880240135,-0.12917054309071777,-1.2739296443841532,-1.2496560067136022,-1.2208023180085759
2405707.248120301,1874.5016719569055,-0.14304341527381104,-0.1363877181232217,-0.1292915320178673,-1.2663375323037291,-1.2431772467534055,-1.2154202414175683
2405981.872180451,1875.253567715574,-0.1428100072748991,-0.13631239014271018,-0.12937216560720877,-1.258641499037506,-1.236346608505964,-1.2098571888833785
2406256.4962406014,1876.0054634742428,-0.14256535315994878,-0.13620393941895287,-0.1294388619192397,-1.2507971945485052,-1.229509389360633,-1.2041063684245696
2406531.120300752,1876.7573592329127,-0.1423098678912151,-0.1360911816069681,-0.12948381148672886,-1.2428157721695319,-1.2224308476303312,-1.1981465120476544
2406805.7443609023,1877.5092549915812,-0.14202520703355484,-0.13594637332487342,-0.12951278974387848,-1.234644251979701,-1.2151623115065766,-1.191989206311849
2407080.3684210526,1878.26115075025,-0.14173139021850345,-0.135792229986079,-0.1295209495042877,-1.2263797479492844,-1.2076394707129883,-1.185604913566781
2407354.992481203,1879.0130465089185,-0.1414160793196768,-0.13561688997465907,-0.12950362630630952,-1.2179579445922177,-1.200076342327598,-1.1790373192492474
2407629.6165413535,1879.7649422675884,-0.14107992093374405,-0.13542082361003133,-0.12946284180733827,-1.2094355338502183,-1.1923092776249433,-1.172301737001718
2407904.2406015038,1880.5168380262571,-0.1407261337156896,-0.1352096983148776,-0.1294054112767599,-1.200703765123899,-1.1844208146663702,-1.1652971857012029
2408178.864661654,1881.2687337849256,-0.14036042463333726,-0.13497708373124723,-0.12931746991456305,-1.1918780936773143,-1.1763154846021722,-1.158099141912661
2408453.4887218047,1882.0206295435955,-0.13998227454683004,-0.1347233096795222,-0.12920314147266262,-1.182938750878144,-1.1680180479902322,-1.1507202494231115
2408728.112781955,1882.7725253022643,-0.13958801801214377,-0.13445489992697734,-0.12907048649025282,-1.1738906026009883,-1.1596369228019237,-1.1431011860709743
