K1 [km/s],K2 [km/s],$\gamma_{AB}$ [km/s],$\pi$ [mas],$MA$ [$M_{\odot}$],$MB$ [$M_{\odot}$]
3.77472926011785,3.7202681914166793,9.198558768425626,21.932350840871745,1.3069434813738623,1.3260758490058162
3.769655356880848,3.7136048922751828,9.20200579118081,21.960359093675613,1.3012658511598196,1.3209062161552214
3.769655356880848,3.7136048922751828,9.20200579118081,21.960359093675613,1.3012658511598196,1.3209062161552214
3.704670316124063,3.76010615451321,9.260256067740926,22.02019853252893,1.3096304303423985,1.2903223422452503
3.654112325416547,3.799815008474444,9.282968542692078,22.042773076958376,1.326148236598178,1.2752975094512193
3.647904060136596,3.8002573201575536,9.292793827761827,22.055964002726622,1.3253895202043107,1.2722543250874792
3.65838355081683,3.797646779629688,9.279567587847046,22.039736013736587,1.3247983797334977,1.2762167947168626
3.644807115094681,3.814166836044367,9.288147293346324,22.03998454514349,1.3255595159862439,1.2667009501762454
3.67255955687472,3.781563081549583,9.27469945485321,22.050291368872177,1.3138126960846364,1.2759420559425907
3.6650894874576943,3.786315053051086,9.279690612191088,22.05762597258796,1.314623523322101,1.272533528716745
3.678537794000468,3.7692625138052778,9.262732651865225,22.066532910130707,1.3073340379037612,1.275867003213103
3.6662132329199077,3.7703414102659445,9.25959622053179,22.07316679815763,1.3103568252899067,1.2741677768608008
3.6662132329199077,3.7703414102659445,9.25959622053179,22.07316679815763,1.3103568252899067,1.2741677768608008
3.6662132329199077,3.7703414102659445,9.25959622053179,22.07316679815763,1.3103568252899067,1.2741677768608008
3.7018072779812505,3.7297332612576337,9.227079312031973,22.097810719869692,1.2912099436361029,1.2815421457625027
3.7002376440062412,3.7332629081506217,9.231388557407387,22.092802507038087,1.2920678724666639,1.2806379561091745
3.7002376440062412,3.7332629081506217,9.231388557407387,22.092802507038087,1.2920678724666639,1.2806379561091745
3.7002376440062412,3.7332629081506217,9.231388557407387,22.092802507038087,1.2920678724666639,1.2806379561091745
3.72487318865159,3.708467247436469,9.226708919906333,22.093374499036607,1.2858107932932528,1.2914991100238695
3.710698473909269,3.7250895239465134,9.24007912120238,22.09600790931868,1.2893042233297012,1.2843232848926807
3.702826467745117,3.7367856667811448,9.24311616912974,22.088281680953735,1.294391674302046,1.2826284883936436
3.7120151366661602,3.7567437322252384,9.250873681287606,22.023816919325,1.305886152478321,1.2903379922300293
3.73895753557525,3.7363637468594484,9.228575576390087,22.01517294658486,1.2986248423447886,1.299526349449113
3.73895753557525,3.7363637468594484,9.228575576390087,22.01517294658486,1.2986248423447886,1.299526349449113
3.722805662532362,3.74800896592839,9.239594514152481,22.021585206916626,1.3045003026379725,1.2957282540098944
3.722805662532362,3.74800896592839,9.239594514152481,22.021585206916626,1.3045003026379725,1.2957282540098944
3.750049280686306,3.718562254045231,9.212315021379943,22.04531391435396,1.2901845877211442,1.301109260675399
3.750049280686306,3.718562254045231,9.212315021379943,22.04531391435396,1.2901845877211442,1.301109260675399
3.7691753499816376,3.6974197990862914,9.197640485825374,22.05507751025323,1.2809966961209724,1.3058569036765206
3.7691753499816376,3.6974197990862914,9.197640485825374,22.05507751025323,1.2809966961209724,1.3058569036765206
3.7691753499816376,3.6974197990862914,9.197640485825374,22.05507751025323,1.2809966961209724,1.3058569036765206
3.7551989481429016,3.708072315709891,9.210194112988804,22.063366538119183,1.282969534701005,1.2992750510277626
3.7518954587701674,3.7100840420077414,9.241721576576374,22.078927316562712,1.2817138109247763,1.2961583005136783
3.755922456740539,3.6856677713147503,9.239833267155737,22.12827867985218,1.2699973342238071,1.294205501845941
3.769671269859485,3.6825761603745604,9.236111223465668,22.10576809187104,1.2687311553649883,1.2987373993830915
3.7324867730035804,3.7078232619890246,9.251164534173999,22.145848295193023,1.2701223034182092,1.2785708386386778
3.7310006130123603,3.7003122974643174,9.240052516679965,22.1638109614999,1.2678734290617373,1.278388460426168
3.7381100215272935,3.695817109693889,9.236374297386359,22.16132136834557,1.2648665476463241,1.2793409893713528
3.6860238538705388,3.732185222872013,9.252085491824033,22.20577847529813,1.2723223759932654,1.2565857125696154
3.7147484975497957,3.705840280893387,9.227956137200747,22.201731974689604,1.2644430663800919,1.2674825748130598
3.698374053201375,3.72296095545796,9.23762920431093,22.202375443341612,1.2704674354810315,1.2620771087948082
3.088935012647376,4.457426953738405,9.884683091856282,21.925146530657987,1.5449907259973574,1.0706571296128986
3.221003664970975,4.30101832345313,9.811773546550912,22.01940858048348,1.4714482658058106,1.1019576994432558
4.419187409588784,3.0557320884261006,8.520614267178864,22.11382322284858,1.0219584041596927,1.477952118214692
3.302133817281395,4.394167420009833,9.69691049623232,21.68779931216676,1.5061627699803093,1.1318528726133674
3.3789781103364107,4.1496976206146154,9.563068848102958,22.03425648632749,1.4020529305524703,1.1416509333921387
3.447117409542041,4.021294467911449,9.442637572135567,22.161881318746627,1.3569356316436632,1.16318674914055
4.133024536776,3.4994532223900383,8.973860742971748,21.79817180888709,1.1770549556472212,1.3901591773532034
3.7426880032658074,3.8271134383320553,9.177648795092564,21.954462771326895,1.2979866693304039,1.269353316534839
3.6429750885247945,3.947451406932836,9.251376777885888,21.968779874908908,1.3333986821621653,1.2305504695149265
4.074416868010427,3.613542169336336,8.983244719597918,21.64260803225305,1.2307062405668314,1.3876717168772226
3.550806047439545,4.113424713094907,9.40897912448399,21.8293592030712,1.3898209058703013,1.199726461921587
4.201688175225838,3.377178589858648,8.855565102742013,21.80654785320298,1.1621068673085324,1.4458254287711134
3.4702193568663633,3.9919984869565877,9.453095420502807,22.348727812024517,1.2900834139952617,1.1214614559214597
3.423030379026265,4.028983993319578,9.489408576718906,22.3451159769906,1.3088671927588764,1.1120153791509702
4.2727299822498495,3.419415367614428,8.816557091550024,21.55915251589223,1.188339304573331,1.4848892076187625
3.80868004629544,3.786379178906812,9.203038280248123,21.977817017421007,1.2621401598722957,1.2695738634189384
3.9965282647155105,3.8203478293122406,9.1257312916397,21.374675855586254,1.3241456808697087,1.3852104249757402
4.102534519501819,3.619397048554214,8.993453533814378,21.684624617515375,1.2212216222783214,1.3842371516991028
3.935953777702262,3.927447387020689,9.198792017385419,21.32949415228377,1.3863177932240345,1.38932039506587
4.01041994458286,3.6660681568429507,9.155806858069123,21.706042056804932,1.2720384148931752,1.3915202912529194
4.027110620616243,3.636393393720478,8.994988765094503,21.79772211749512,1.2376421965400364,1.370622343230534
3.9610262211237117,3.7462939214576485,9.122107130126736,21.748578527383863,1.2435897919689074,1.3148706101506327
3.918868235020357,3.6838816000922296,9.03233786621318,21.82406252424549,1.2668201752773356,1.34762782393793
3.763926727885725,3.7874458314628483,9.27963566712395,21.943400424408424,1.282467406190265,1.2745036002105439
3.7193609698541374,3.760443370253828,9.465093761149598,22.082786367439226,1.268389802076235,1.254532793053317
3.8838326588901317,3.7686989999601503,9.025247728613472,21.755286967584507,1.284686186087643,1.3239333165118654
3.8155451791123904,3.6449084293029412,9.276603833771253,22.220791710350237,1.207174518526676,1.2636885134018705
3.632195388322086,4.001895405664029,9.262240466938799,21.98152775101267,1.3357302664156459,1.212333862311955
3.5912540556428887,4.056603812408862,9.304060004979277,21.674752125936443,1.4004485034465852,1.239797278782091
3.7235633865050652,3.88941100487074,9.052134321568442,21.849325156828975,1.3179165622885973,1.2617195384239248
3.995891051856942,3.599410231780887,9.152170637605197,22.031376917900495,1.184461635078793,1.3149319872154297
3.862489025103774,3.5818649871447326,9.06403048878823,22.264280004721083,1.1545695393764863,1.2450252007169254
3.9681184922578083,3.7290220594005214,9.120040118954293,21.816897698867812,1.2435024087133262,1.3232329615061935
3.9842123778047274,3.4992756467998123,8.862331447377429,22.159707317464573,1.1634857211951481,1.3247239370879897
3.973469047195323,3.7863833246853327,9.275855708060632,21.576807882742912,1.2914992622417403,1.3553124189874841
3.992512244340982,3.43382054383324,8.89620601457316,22.250835394288675,1.147529501800704,1.3342355921627085
4.098557840558083,3.4921087020848027,8.865228283766305,21.89468584812932,1.1938232123641899,1.4011458132315227
3.8412428617659895,3.5614669414525273,9.144547448084419,22.382721302981615,1.163495269987927,1.2548952367130066
3.7745413027979464,3.818119834237911,9.110478236765227,21.98362632888105,1.275555663579642,1.260996968462147
3.811176797651285,3.775750282577908,9.17876556903027,21.835754051152957,1.2804725010447668,1.2924867167540577
3.917983602832319,3.817682682800387,9.210577696141529,21.4501865137333,1.3382163290441353,1.3733749161130913
3.9235138161991863,3.7387500353090886,9.136797426021413,21.704564290148973,1.2855033341632418,1.3490311052428057
3.9703910492613947,3.7062849748059694,9.069068821489065,21.663461773512473,1.2813947745988101,1.372705654913593
3.859104093055075,3.710700398657269,9.149803076941032,21.988289603200272,1.2345672274353952,1.2839418246408623
3.736716746651366,3.980298942392687,9.274416772071403,21.681994226525717,1.356198429550849,1.2732032083094151
3.9762398067178006,3.5819946600742827,8.9892151923496,21.921667576756413,1.2142104649907868,1.347850134575459
3.651250687279127,3.933187465948086,9.31824765535508,21.934021390492916,1.3214773717742945,1.2267518911030701
3.8971365485038953,3.7649325734642387,9.128052754919299,21.700551919147344,1.2831933473377248,1.328252125404073
3.7552159706358412,3.8215434598379887,9.191890049015147,21.998431045793332,1.2837345289744926,1.2614537701649122
3.4871754377459183,4.136574872649775,9.50673724959562,21.75383105197387,1.4285301052524402,1.2042656662771505
4.293919693671798,3.3762460664302796,8.783053243455416,21.876458519270027,1.1136188846367823,1.416303778190702
3.7663045208384704,4.099663576119922,9.371390815798579,21.258894038673656,1.4526178860995715,1.3345000656482167
4.142283163548772,3.2932512776934155,8.789479592884495,22.276257212011206,1.096219113525811,1.3788349550717325
3.6431392093489903,3.883205372479124,9.470943863489378,21.878982217055984,1.3405836233618618,1.2577065319011773
3.918799887625021,3.535429987051208,8.936043865478428,22.237181003474788,1.1743943388540863,1.301741632555258
3.972788145705549,3.520692435481529,8.957165266389042,22.12252803623442,1.1641571868975007,1.3136477998572318
4.010380653278186,3.7558102763770376,9.152380120549102,21.505913035488888,1.2970984025181878,1.385016269744819
3.7215448016643573,3.7537636157775,9.161360601410891,22.200726886926518,1.2478681133482197,1.2371575745671686
3.604932302547804,3.866363333196457,9.253730616301526,22.189631509205256,1.2904316354643028,1.203176806218301
3.6165204842300733,4.043487005711109,9.308321175719435,21.60178226410337,1.4263529209162107,1.2757391204544466
4.189590994076478,3.486418234033947,8.92672724341464,21.729777094200752,1.1851948997909159,1.424235861870222
3.8221091768697124,3.947485024138711,9.317355738866096,21.54958911331745,1.3638120565602438,1.3204960994226425
4.094816187634813,3.642253568883707,9.01606771820695,21.46359755531897,1.2780210564776813,1.436819598424298
3.8117621337057606,3.701866019041955,9.157472794129186,22.03535602747355,1.2691841713011458,1.3068620365997106
3.816509946656505,3.63618387599883,9.143919647704363,22.26143784228695,1.1921882177798822,1.2513113600983023
3.8225763918022153,3.512786444347193,9.082564068466095,22.482214315119105,1.157700775218733,1.2597975203541463
3.7513578935707463,3.885919432239544,9.21842525261423,21.841023442533974,1.3153975266010234,1.2698479679374888
3.6097324275497487,3.9978365971100027,9.399214180955633,21.81974858215068,1.3682540391869824,1.2354259245987074
3.4005684831194496,4.200055044942961,9.467866595192426,21.861633889497114,1.418821275312334,1.1487465903133156
4.312082896498218,3.394226825489748,8.850952986892382,21.641718414937664,1.1759107931186887,1.4938968665074763
4.347736435813513,3.3688851479401416,8.814813390436306,21.628202556211345,1.1678245319997351,1.507143474901961
3.5934944207292356,3.951321156206736,9.28010306676233,21.943760726092474,1.3227637176196483,1.2029758785217228
4.006959403669922,3.566651286635753,9.107130222878574,21.983214572677376,1.2242694838571768,1.3754072733011267
4.028164377211989,3.6015156612618777,9.155262331236981,21.858938138544172,1.2209702213257214,1.365610818823338
3.881301791635877,3.6630148683133745,9.143854045286258,21.94794409143188,1.2451653247971013,1.31936740083262
3.6520572118898365,3.932587584650754,9.317567770215096,22.14504936844168,1.2741045198994339,1.1832165210411707
3.712242055689918,3.931571603355965,9.314887897717174,21.834355769545525,1.332251950660037,1.2579299626117835
