HJD,Aa,Aa_err
2447893.9437,17.7,1.14
2447900.9284,19.1,1.14
2447923.8619,21.5,1.14
2447933.7875,21.4,1.14
2447940.7622,19.8,1.14
2447958.804,12.9,1.14
2447960.7297,12.3,1.14
2447966.8318,7.8,1.14
2447969.6733,7.8,1.14
2447987.6732,4.8,1.14
2447990.6164,5.5,1.14
2447994.6208,6.6,1.14
2447998.6012,6.5,1.14
2447999.6942,8.0,1.14
2448000.6122,7.0,1.14
2448001.6072,7.8,1.14
2448014.5635,6.3,1.14
2448023.5659,7.8,1.14
2448026.5711,7.7,1.14
2448045.6365,9.3,1.14
2448046.6392,7.8,1.14
2448047.6333,7.0,1.14
2448048.6517,10.5,1.14
2448049.6354,8.3,1.14
2448053.6343,8.8,1.14
2448054.6357,9.4,1.14
2448228.9471,11.0,1.14
2448251.919,8.0,1.14
2448252.9045,5.9,1.14
2448257.9475,6.9,1.14
2448260.855,7.0,1.14
2448278.8342,7.4,1.14
2448281.819,7.8,1.14
2448282.8396,6.9,1.14
2448285.0192,7.6,1.14
2448285.8189,6.7,1.14
2448286.9587,8.3,1.14
2448288.0223,9.1,1.14
2448288.8079,7.2,1.14
2448291.8559,6.7,1.14
2448291.8813,8.5,1.14
2448305.7847,10.6,1.14
2448309.8121,11.6,1.14
2448310.7333,7.7,1.14
2448311.7526,10.6,1.14
2448315.7673,9.4,1.14
2448321.7302,10.5,1.14
2448323.7623,10.7,1.14
2448324.7093,10.0,1.14
2448325.6859,11.1,1.14
2448339.7775,11.2,1.14
2448342.8213,9.9,1.14
2448347.8141,10.6,1.14
2448349.7405,10.3,1.14
2448366.7137,11.3,1.14
2448368.7887,11.7,1.14
2448369.5955,13.4,1.14
2448370.726,12.0,1.14
2448372.7574,12.3,1.14
2448378.6776,13.2,1.14
2448380.5698,13.0,1.14
2448397.5699,15.0,1.14
2448399.6445,14.7,1.14
2448401.6495,16.8,1.14
2448404.6283,15.6,1.14
2448405.56,16.2,1.14
2448406.6353,16.2,1.14
2448409.6431,15.2,1.14
2448411.6566,15.9,1.14
2448434.6336,17.9,1.14
2448438.6406,16.3,1.14
2448605.9678,11.1,1.14
2448614.0576,9.5,1.14
2448617.0121,11.3,1.14
2448621.9233,11.2,1.14
2448635.9564,12.2,1.14
2448638.9767,12.1,1.14
2448646.9575,13.0,1.14
2448648.9547,14.3,1.14
2448669.8766,15.0,1.14
2448672.893,15.7,1.14
2448673.7568,14.2,1.14
2448674.8775,15.7,1.14
2448677.8765,16.5,1.14
2448691.7151,17.5,1.14
2448693.8507,17.3,1.14
2448696.8404,17.4,1.14
2448698.8243,17.7,1.14
2448703.6715,20.8,1.14
2448706.6955,20.5,1.14
2448711.6851,20.1,1.14
2448727.6448,19.6,1.14
2448731.6157,18.8,1.14
2448735.7549,18.3,1.14
2448740.5657,16.5,1.14
2448751.6528,11.4,1.14
2448754.5449,10.9,1.14
2448754.7028,10.7,1.14
2448757.6427,10.1,1.14
2448759.6362,10.3,1.14
2448763.6799,6.0,1.14
2448765.565,8.4,1.14
2448782.6352,9.4,1.14
2448784.6343,8.5,1.14
2448786.635,8.3,1.14
2448791.6353,7.8,1.14
2448797.6335,9.6,1.14
2448962.9421,20.3,1.14
2448968.0647,23.0,1.14
2448971.0305,21.0,1.14
2448989.9036,20.1,1.14
2449018.9083,9.9,1.14
2449030.9129,7.3,1.14
2449033.801,7.9,1.14
2449045.7667,8.1,1.14
2449047.7311,7.5,1.14
2449048.76,8.1,1.14
2449062.6902,8.8,1.14
2449062.6902,9.5,1.14
2449076.7881,8.2,1.14
2449077.7597,9.8,1.14
2449078.7308,9.5,1.14
2449080.7588,6.8,1.14
2449082.7824,9.0,1.14
2449083.6513,7.9,1.14
2449085.6321,7.7,1.14
2449105.5947,10.8,1.14
2449106.7237,11.5,1.14
2449107.6213,10.1,1.14
2449109.5699,10.9,1.14
2449116.5509,12.7,1.14
2449118.6198,11.2,1.14
2449121.557,13.3,1.14
2449125.5798,12.8,1.14
2449140.5679,13.5,1.14
2449144.6294,12.7,1.14
2449146.6457,13.3,1.14
2449345.9228,8.7,1.14
2449348.0556,9.3,1.14
2449351.0171,10.5,1.14
2449362.8508,9.3,1.14
2449368.861,9.8,1.14
2449373.8324,10.8,1.14
2449377.8302,11.1,1.14
2449385.8003,11.3,1.14
2449400.7343,13.3,1.14
2449403.7491,11.8,1.14
2449413.7196,12.7,1.14
2449416.7738,13.0,1.14
2449442.6619,14.9,1.14
2449494.5568,20.8,1.14
